import time: self [us] | cumulative | imported package
import time:       441 |       8264 |       pandas.testing
import time:       679 |        679 |       pandas.util._print_versions
import time:       564 |        564 |         pandas.io.clipboards
import time:      1017 |       1017 |               backports_abc
import time:      1664 |       2680 |             pandas._libs.parsers
import time:       654 |        654 |             pandas.io.excel._util
import time:       487 |        487 |                     pandas.io.date_converters
import time:      1076 |       1563 |                   pandas.io.parsers.base_parser
import time:       540 |       2103 |                 pandas.io.parsers.arrow_parser_wrapper
import time:       603 |        603 |                 pandas.io.parsers.c_parser_wrapper
import time:       799 |        799 |                 pandas.io.parsers.python_parser
import time:      4684 |       8187 |               pandas.io.parsers.readers
import time:       607 |       8794 |             pandas.io.parsers
import time:       878 |        878 |             pandas.io.excel._odfreader
import time:       733 |        733 |             pandas.io.excel._openpyxl
import time:       424 |        424 |             pandas.io.excel._pyxlsb
import time:       379 |        379 |             pandas.io.excel._xlrd
import time:      3872 |      18411 |           pandas.io.excel._base
import time:       643 |        643 |             pandas._libs.json
import time:       456 |       1099 |           pandas.io.excel._odswriter
import time:       517 |        517 |           pandas.io.excel._xlsxwriter
import time:       382 |        382 |           pandas.io.excel._xlwt
import time:       846 |      21252 |         pandas.io.excel
import time:       427 |        427 |         pandas.io.feather_format
import time:       325 |        325 |         pandas.io.gbq
import time:       783 |        783 |         pandas.io.html
import time:       854 |        854 |             pandas.io.json._normalize
import time:       398 |        398 |             pandas.io.json._table_schema
import time:      1378 |       2629 |           pandas.io.json._json
import time:       405 |       3033 |         pandas.io.json
import time:       360 |        360 |         pandas.io.orc
import time:       635 |        635 |         pandas.io.parquet
import time:       462 |        462 |           pandas.compat.pickle_compat
import time:       582 |       1043 |         pandas.io.pickle
import time:       662 |        662 |           pandas.core.computation.pytables
import time:      1685 |       2346 |         pandas.io.pytables
import time:       665 |        665 |           pandas.io.sas.sasreader
import time:       432 |       1096 |         pandas.io.sas
import time:       324 |        324 |         pandas.io.spss
import time:       900 |        900 |         pandas.io.sql
import time:      2304 |       2304 |         pandas.io.stata
import time:      1227 |       1227 |         pandas.io.xml
import time:       780 |      37394 |       pandas.io.api
import time:       429 |        429 |       pandas.util._tester
import time:       312 |        312 |       pandas._version
import time:      1178 |     453519 |     pandas
import time:       725 |     456228 |   pysubgroup.subgroup_description
import time:        70 |         70 |       _heapq
import time:      1096 |       1166 |     heapq
import time:       886 |       2051 |   pysubgroup.algorithms
import time:       717 |        717 |   pysubgroup.measures
import time:       422 |        422 |   pysubgroup.utils
import time:       569 |        569 |   pysubgroup.binary_target
import time:       787 |        787 |   pysubgroup.numeric_target
import time:       468 |        468 |   pysubgroup.fi_target
import time:       394 |        394 |   pysubgroup.visualization
import time:       336 |        336 |   pysubgroup.refinement_operator
import time:       454 |        454 |   pysubgroup.representations
import time:       334 |        334 |   pysubgroup.constraints
import time:       494 |        494 |   pysubgroup.gp_growth
import time:       583 |        583 |   pysubgroup.model_target
import time:       556 |     464388 | pysubgroup
